,fecha,area_nieve,dia_sen,temperatura,precipitacion,precipitacion_bool,dias_sin_precip
0,2000-02-26,63.58021897098626,0.8296770135526189,-12.08143898,3.049868902,1,0
1,2000-02-27,63.58021897098626,0.8391377545563938,-12.60400612,5.955109157,1,0
2,2000-02-28,388.681637769213,0.848351197812304,-13.21963213,0.125265432,1,0
3,2000-02-29,593.2795218937971,0.8573146280763322,-13.39784137,0.003338878,0,1
4,2000-03-01,607.5443146116465,0.8660254037844386,-11.76935872,0.001284479,0,2
5,2000-03-02,609.0387214678021,0.8744809578310397,-13.40971738,0.663628885,1,0
6,2000-03-03,565.1575019643224,0.8826787983255473,-10.55130607,0.002833831,0,1
7,2000-03-04,565.1575019643224,0.8906165093267404,-5.584749913,0.244784371,1,0
8,2000-03-05,561.0818469020796,0.8982917515547529,-6.103766984,0.007736872,0,1
9,2000-03-06,561.0818469020796,0.9057022630804714,-6.397860057,12.6514897,1,0
10,2000-03-07,561.0818469020796,0.9128458599921356,-9.202007521,8.236864198,1,0
11,2000-03-08,561.0818469020796,0.9197204370389466,-9.887683904,0.307382494,1,0
12,2000-03-09,561.0818469020796,0.9263239682514948,-8.43873712,1.298752318,1,0
13,2000-03-10,561.0818469020796,0.9326545075388224,-6.347804021,19.16699919,1,0
14,2000-03-11,561.0818469020796,0.9387101892619444,-9.223648233,30.62101144,1,0
15,2000-03-12,619.3637142921503,0.9444892287836611,-13.12160986,4.48280305,1,0
16,2000-03-13,619.3637142921503,0.949989922994501,-11.35245725,12.28385888,1,0
17,2000-03-14,619.907134967116,0.9552106508146316,-14.37907136,0.716851506,1,0
18,2000-03-15,627.5150244166357,0.9601498736716018,-11.6483519,0.001715525,0,1
19,2000-03-16,622.8959486794274,0.9648061359537646,-6.970780405,5.58e-05,0,2
20,2000-03-17,597.0834666185568,0.9691780654392536,-3.763083745,0.421668942,1,0
21,2000-03-18,597.0834666185568,0.9732643737003824,-1.687570362,5.324293004,1,0
22,2000-03-19,597.0834666185568,0.9770638564833508,-6.228598555,6.669631286,1,0
23,2000-03-20,597.0834666185568,0.9805753940631428,-5.561487962,10.73181762,1,0
24,2000-03-21,597.0834666185568,0.9837979515735163,-5.011717708,4.382815554,1,0
25,2000-03-22,597.0834666185568,0.9867305793119814,-4.451603998,0.226478618,1,0
26,2000-03-23,597.0834666185568,0.9893724130196828,-5.964217985,0.515660283,1,0
