fecha,area_nieve,dia_sen,temperatura,precipitacion,precipitacion_bool,dias_sin_precip
2000-05-07,48.50883,0.8100248628547752,1.878230712,6.481980854,1,0
2000-05-08,48.50883,0.7998392447397195,1.656276964,5.088680321,1,0
2000-05-09,47.56386,0.7894179103280197,2.515288938,0.168139176,1,0
2000-05-10,47.56386,0.7787639308347607,3.708381153,1.067814008,1,0
2000-05-11,56.38364,0.7678804460366001,4.68144135,0.091096802,0,1
2000-05-12,44.72892,0.7567706633464624,3.506664178,3.418988081,1,0
2000-05-13,44.72892,0.7454378568683001,3.512149956,1.328014122,1,0
2000-05-14,40.31903,0.7338853664321991,3.989416159,2.079170947,1,0
2000-05-15,36.22413,0.7221165966101163,4.448534828,0.941106704,1,0
2000-05-16,31.49924,0.7101350157125358,4.402219031,2.189816932,1,0
2000-05-17,26.14437,0.6979441547663439,4.563665068,1.031323176,1,0
2000-05-18,22.04947,0.6855476064742155,3.448916207,7.832787139,1,0
2000-05-19,21.26199,0.672949024155833,1.108319212,9.148869957,1,0
2000-05-20,17.79707,0.660152120671232,-0.292866728,2.905576925,1,0
2000-05-21,17.79707,0.647160667326606,0.827167751,1.475570081,1,0
2000-05-22,17.79707,0.6339784927628868,1.546608608,5.125185447,1,0
2000-05-23,17.79707,0.620609481827423,3.677981392,0.035555048,0,1
2000-05-24,17.79707,0.6070575744291002,5.23362191,1.389214902,1,0
2000-05-25,17.32458,0.593326764377232,5.571332063,0.312044255,1,0
2000-05-26,11.02473,0.5794210982045638,5.59718368,3.507178883,1,0
2000-05-27,8.81979,0.5653446739747428,5.349307281,8.904021763,1,0
2000-05-28,14.01716,0.5511016400746,4.764569214,3.185396193,1,0
2000-05-29,14.01716,0.5366961939916005,3.36636564,2.230927161,1,0
2000-05-30,14.01716,0.522132581076825,2.010881753,2.476650314,1,0
2000-05-31,5.51237,0.5074150932938454,3.464069382,6.192922759,1,0
2000-06-01,8.5048,0.4925480679538644,6.252831282,0.002322417,0,1
2000-06-02,9.60727,0.4775358864374883,9.380785632,0.951770237,1,0
2000-06-03,6.14235,0.4623829729035147,8.621186212,7.343930004,1,0
2000-06-04,3.77991,0.4470937929851142,8.753041687,5.313372989,1,0
2000-06-05,3.62241,0.4316728524737838,8.586998913,1.541056993,1,0
2000-06-06,1.88995,0.4161246959914746,6.985513659,9.669321524,1,0
2000-06-07,2.99243,0.4004539056512667,6.916792544,0.289456867,1,0
2000-06-08,3.14992,0.3846650997070012,7.783441668,1.319629459,1,0
2000-06-09,1.88995,0.3687629311922603,9.402613341,0.028748139,0,1
2000-06-10,6.92983,0.352752086549095,8.512564659,4.025952358,1,0
2000-06-11,6.92983,0.3366372842469106,6.695779004,11.17318225,1,0
2000-06-12,0.78748,0.3204232733919112,9.023718437,1.792375503,1,0
2000-06-13,0.1575,0.304114832327518,8.857286279,6.722136478,1,0
2000-06-14,0.1575,0.2877167672261672,7.970713608,7.123068098,1,0
2000-06-15,0.1575,0.27123391067291,7.760428444,2.02793756,1,0
2000-06-16,0.0,0.2546711202412288,7.000184621,0.119153096,1,0
2000-06-17,0.0,0.2380332770614858,6.946481729,0.039495077,0,1
2000-06-18,0.0,0.2213252843824324,9.70505651,0.196559249,1,0
2000-06-19,0.31499,0.2045520661262008,10.94603084,0.508280447,1,0
