,fecha,area_nieve,dia_sen,temperatura,precipitacion,precipitacion_bool,dias_sin_precip
0,2000-02-24,0.0,0.8100248628547752,10.90603969,1.777891151,1,0
1,2000-02-25,6.754478916620667,0.8199717629247771,10.22180575,1.180682221,1,0
2,2000-02-26,6.754478916620667,0.8296770135526189,6.965669115,5.140674257,1,0
3,2000-02-27,169.44092825122704,0.8391377545563938,2.928687307,8.939456059,1,0
4,2000-02-28,76.03613408995837,0.848351197812304,4.571579305,0.002157688,0,1
5,2000-02-29,20.263436749862,0.8573146280763322,7.159053567,0.62080207,1,0
6,2000-03-01,10.421196042786171,0.8660254037844386,7.169422729,1.003724323,1,0
7,2000-03-02,6.947464028524115,0.8744809578310397,7.533547917,0.628709948,1,0
8,2000-03-03,9.84224070707583,0.8826787983255473,8.214300126,0.524169841,1,0
9,2000-03-04,8.298359811848249,0.8906165093267404,9.349997918,1.671514255,1,0
10,2000-03-05,11.772091826110303,0.8982917515547529,10.22405334,0.144608413,1,0
11,2000-03-06,9.070300259462035,0.9057022630804714,11.89396393,0.455818435,1,0
12,2000-03-07,14.859853616565468,0.9128458599921356,11.87964432,0.816744486,1,0
13,2000-03-08,8.87731514755859,0.9197204370389466,10.56112557,0.720527779,1,0
14,2000-03-09,2.3158213428413714,0.9263239682514948,9.729308458,1.001685679,1,0
15,2000-03-10,13.315972721337886,0.9326545075388224,9.587058312,2.300254729,1,0
16,2000-03-11,19.105526078441315,0.9387101892619444,9.431185403,1.618173613,1,0
17,2000-03-12,19.105526078441315,0.9444892287836611,8.814100045,0.536577358,1,0
18,2000-03-13,12.737017385627544,0.949989922994501,8.122202312,0.229260944,1,0
19,2000-03-14,12.93000249753099,0.9552106508146316,8.819696956,0.438799093,1,0
20,2000-03-15,12.93000249753099,0.9601498736716018,8.688490412,1.766839263,1,0
21,2000-03-16,12.93000249753099,0.9648061359537646,7.747998043,2.018314436,1,0
22,2000-03-17,7.719404476137905,0.9691780654392536,8.415549049,0.623888299,1,0
23,2000-03-18,8.1053746999448,0.9732643737003824,9.068811111,0.628741261,1,0
24,2000-03-19,8.87731514755859,0.9770638564833508,7.887436307,2.160363455,1,0
25,2000-03-20,8.87731514755859,0.9805753940631428,5.992982602,3.499709453,1,0
26,2000-03-21,22.579258092703373,0.9837979515735163,7.336441779,0.00170756,0,1
27,2000-03-22,12.737017385627544,0.9867305793119814,9.688004496,0.000855327,0,2
28,2000-03-23,11.772091826110303,0.9893724130196828,7.501382769,0.000866843,0,3
29,2000-03-24,9.84224070707583,0.9917226741361016,10.53432466,0.001718104,0,4
30,2000-03-25,7.912389588041353,0.9937806700284983,11.39302508,0.33937205,1,0
31,2000-03-26,7.719404476137905,0.9955457941960382,8.66626805,1.478733696,1,0
32,2000-03-27,7.912389588041353,0.9970175264485268,6.041540677,0.22295417,1,0
33,2000-03-28,9.456270483268934,0.998195433059714,9.425342202,0.001719593,0,1
34,2000-03-29,7.140449140427562,0.9990791668951152,9.578120426,0.010228841,0,2
35,2000-03-30,11.193136490399962,0.999668467514313,7.832671396,0.233592579,1,0
36,2000-03-31,8.298359811848249,0.99996316124771,7.549195224,0.215867453,1,0
37,2000-04-01,3.859702238068953,0.99996316124771,9.637648868,0.487498428,1,0
38,2000-04-02,4.0526873499724,0.999668467514313,9.142758821,2.698555995,1,0
39,2000-04-03,39.17597771639987,0.9990791668951152,6.342747021,3.667088343,1,0
