,fecha,area_nieve,dia_sen,temperatura,precipitacion,precipitacion_bool,dias_sin_precip
0,2000-02-24,0.0,0.8100248628547752,-16.7134009,0.29361248,1,0
1,2000-02-25,0.0,0.8199717629247771,-18.11100362,0.338631857,1,0
2,2000-02-26,11.269401485511487,0.8296770135526189,-19.720357,0.622460153,1,0
3,2000-02-27,35.945504738269406,0.8391377545563938,-18.93043493,3.104773117,1,0
4,2000-02-28,39.44290519929021,0.848351197812304,-18.20531502,2.329122974,1,0
5,2000-02-29,77.9143102705191,0.8573146280763322,-15.07973646,2.538412809,1,0
6,2000-03-01,75.97131001439641,0.8660254037844386,-14.8457194,11.50279026,1,0
7,2000-03-02,76.55421009123323,0.8744809578310397,-15.50949516,5.535292439,1,0
8,2000-03-03,76.55421009123323,0.8826787983255473,-14.34433276,1.275247312,1,0
9,2000-03-04,192.55132538175667,0.8906165093267404,-14.74764036,1.339763403,1,0
10,2000-03-05,189.05392492073585,0.8982917515547529,-17.12360102,0.893625605,1,0
11,2000-03-06,164.18352164236566,0.9057022630804714,-14.07993418,0.249955046,1,0
12,2000-03-07,163.60062156552888,0.9128458599921356,-14.48104642,0.995147973,1,0
13,2000-03-08,161.0747212325694,0.9197204370389466,-16.13056475,0.731784094,1,0
14,2000-03-09,161.0747212325694,0.9263239682514948,-16.12834524,2.597093582,1,0
15,2000-03-10,162.240521386243,0.9326545075388224,-13.8224205,4.374653101,1,0
16,2000-03-11,160.10322110450804,0.9387101892619444,-14.06624324,7.040224038,1,0
17,2000-03-12,160.10322110450804,0.9444892287836611,-14.37570674,7.378095295,1,0
18,2000-03-13,160.10322110450804,0.949989922994501,-13.21314087,14.15982842,1,0
19,2000-03-14,160.10322110450804,0.9552106508146316,-14.69952685,1.406911062,1,0
20,2000-03-15,177.20162335838756,0.9601498736716018,-15.39302673,0.650984002,1,0
21,2000-03-16,174.48142299981583,0.9648061359537646,-14.02651571,2.903580666,1,0
22,2000-03-17,180.11612374257157,0.9691780654392536,-13.95336507,2.874339465,1,0
23,2000-03-18,196.6316259196143,0.9732643737003824,-14.16014582,3.405839205,1,0
24,2000-03-19,196.6316259196143,0.9770638564833508,-15.14945132,1.261845231,1,0
25,2000-03-20,185.9451245109396,0.9805753940631428,-15.93345998,0.071498755,0,1
26,2000-03-21,185.9451245109396,0.9837979515735163,-16.3068718,0.325953937,1,0
27,2000-03-22,184.779324357266,0.9867305793119814,-15.88574829,4.353916738,1,0
28,2000-03-23,184.779324357266,0.9893724130196828,-12.54939372,31.33541718,1,0
29,2000-03-24,184.97362438287823,0.9917226741361016,-16.55645154,0.901807798,1,0
30,2000-03-25,232.57713065788369,0.9937806700284983,-13.77356377,1.443469431,1,0
31,2000-03-26,201.1005265086964,0.9955457941960382,-13.23355713,0.423598278,1,0
32,2000-03-27,200.7119264574719,0.9970175264485268,-13.53675944,0.476762652,1,0
33,2000-03-28,200.7119264574719,0.998195433059714,-13.09421387,0.763049698,1,0
34,2000-03-29,179.53322366573477,0.9990791668951152,-10.86974691,0.025051831,0,1
35,2000-03-30,200.9062264830841,0.999668467514313,-8.575598145,0.002342462,0,2
36,2000-03-31,163.60062156552888,0.99996316124771,-7.596584066,0.177094335,1,0
37,2000-04-01,141.4504186457304,0.99996316124771,-8.707383219,1.059666276,1,0
38,2000-04-02,132.90121751879067,0.999668467514313,-7.342982992,0.907689333,1,0
39,2000-04-03,143.78201895307762,0.9990791668951152,-7.655859375,1.146264374,1,0
40,2000-04-04,143.78201895307762,0.998195433059714,-10.0555481,1.205444336,1,0
41,2000-04-05,124.15771636623866,0.9970175264485268,-9.76622111,0.945038919,1,0
42,2000-04-06,123.38051626378956,0.9955457941960382,-10.57676799,0.379550445,1,0
43,2000-04-07,104.9220138306242,0.9937806700284983,-9.796433512,0.139772892,1,0
44,2000-04-08,103.56191365133834,0.9917226741361016,-8.36665446,1.147016883,1,0
45,2000-04-09,97.34431283174578,0.9893724130196828,-11.32154185,1.828792738,1,0
46,2000-04-10,95.5956126012354,0.9867305793119816,-12.1362779,0.353026378,1,0
47,2000-04-11,62.37030822153773,0.9837979515735163,-10.07453003,0.140178192,1,0
48,2000-04-12,95.40131257562312,0.980575394063143,-8.49270223,0.075134623,0,1
49,2000-04-13,55.76410735072064,0.9770638564833508,-8.449214681,0.41962578,1,0
50,2000-04-14,48.9636064542913,0.9732643737003824,-7.645025635,1.068664249,1,0
51,2000-04-15,48.9636064542913,0.9691780654392536,-6.889186605,3.608125262,1,0
52,2000-04-16,58.48430770929238,0.9648061359537646,-7.992814128,1.143574715,1,0
53,2000-04-17,64.70190852888493,0.9601498736716018,-8.575140381,0.85905171,1,0
54,2000-04-18,78.30291032174362,0.9552106508146316,-6.495753988,0.388443208,1,0
55,2000-04-19,78.30291032174362,0.949989922994501,-6.001348877,0.734650996,1,0
56,2000-04-20,78.30291032174362,0.9444892287836611,-6.154211426,0.811251812,1,0
57,2000-04-21,57.12420753000652,0.9387101892619444,-4.647161865,2.078661229,1,0
58,2000-04-22,45.85480604449502,0.9326545075388224,-4.958217367,1.347807702,1,0
59,2000-04-23,46.43770612133183,0.926323968251495,-5.473181152,6.572233513,1,0
60,2000-04-24,46.43770612133183,0.9197204370389468,-5.908524577,7.698685396,1,0
61,2000-04-25,46.24340609571957,0.9128458599921356,-6.879207357,4.251282662,1,0
62,2000-04-26,46.24340609571957,0.9057022630804716,-4.909684245,4.437202122,1,0
63,2000-04-27,46.24340609571957,0.8982917515547528,-4.709590658,20.6246078,1,0
64,2000-04-28,46.24340609571957,0.8906165093267405,-4.992152913,11.81451045,1,0
65,2000-04-29,71.69670945092655,0.8826787983255476,-6.532741292,2.77214637,1,0
66,2000-04-30,64.11900845204813,0.8744809578310397,-7.485418701,1.044835895,1,0
67,2000-05-01,64.11900845204813,0.8660254037844387,-6.569443766,2.130336128,1,0
68,2000-05-02,72.08530950215108,0.8573146280763325,-5.306524658,1.01138046,1,0
69,2000-05-03,88.79511170480605,0.848351197812304,-3.799119059,4.779720213,1,0
70,2000-05-04,79.27441044980496,0.8391377545563939,-3.182653809,0.888794661,1,0
71,2000-05-05,42.35740558347422,0.829677013552619,-4.022965495,1.770386007,1,0
72,2000-05-06,42.35740558347422,0.8199717629247771,-4.752630615,4.131379537,1,0
73,2000-05-07,42.35740558347422,0.8100248628547752,-4.412105306,1.054578926,1,0
74,2000-05-08,40.22010530173928,0.7998392447397195,-4.420365397,3.294438124,1,0
75,2000-05-09,42.163105557861954,0.7894179103280197,-3.273972575,3.014326096,1,0
76,2000-05-10,42.163105557861954,0.7787639308347607,-2.038468424,1.644611359,1,0
77,2000-05-11,78.30291032174362,0.7678804460366001,-1.087723796,1.574322581,1,0
78,2000-05-12,65.479108631334,0.7567706633464624,-1.271358236,0.796783017,1,0
79,2000-05-13,20.207202663675773,0.7454378568683001,-1.548701986,0.827962067,1,0
80,2000-05-14,45.07760594204596,0.7338853664321991,-0.704595947,0.563251786,1,0
81,2000-05-15,36.33410478949394,0.7221165966101163,-0.822231038,5.645314232,1,0
82,2000-05-16,36.33410478949394,0.7101350157125358,-0.703629557,2.146735787,1,0
83,2000-05-17,16.904102228267234,0.6979441547663439,-0.583746338,4.457807168,1,0
84,2000-05-18,27.20200358571739,0.6855476064742155,-0.968237305,1.483116532,1,0
85,2000-05-19,33.80820445653447,0.672949024155833,-0.614141846,10.64679027,1,0
86,2000-05-20,33.80820445653447,0.660152120671232,-0.561397298,19.23183165,1,0
87,2000-05-21,33.80820445653447,0.647160667326606,-0.83560791,5.042333156,1,0
88,2000-05-22,33.80820445653447,0.6339784927628868,-1.492631022,4.4003902,1,0
89,2000-05-23,20.790102740512577,0.620609481827423,-0.651515706,6.683006883,1,0
90,2000-05-24,20.012902638063505,0.6070575744291002,-0.425716146,5.205619149,1,0
91,2000-05-25,24.093203175921115,0.593326764377232,1.022871908,6.983255036,1,0
92,2000-05-26,24.093203175921115,0.5794210982045638,0.542911784,39.45236281,1,0
93,2000-05-27,10.297901357450154,0.5653446739747428,-0.960963949,18.14052649,1,0
94,2000-05-28,9.520701255001084,0.5511016400746,-1.448146566,4.966955632,1,0
95,2000-05-29,9.520701255001084,0.5366961939916005,-0.759954834,4.202666692,1,0
96,2000-05-30,9.520701255001084,0.522132581076825,-0.856502279,3.551387694,1,0
97,2000-05-31,9.520701255001084,0.5074150932938454,-1.000626628,4.946053028,1,0
98,2000-06-01,19.041402510002168,0.4925480679538644,-1.351853434,4.936832003,1,0
99,2000-06-02,19.81860261245124,0.4775358864374883,-0.265193685,3.460029839,1,0
100,2000-06-03,8.354901101327483,0.4623829729035147,0.961338298,3.306543687,1,0
101,2000-06-04,8.354901101327483,0.4470937929851142,0.903924561,4.10802383,1,0
102,2000-06-05,8.354901101327483,0.4316728524737838,1.52851766,4.57406044,1,0
103,2000-06-06,7.966301050102949,0.4161246959914746,2.09222819,14.04323801,1,0
104,2000-06-07,7.966301050102949,0.4004539056512667,1.043979899,22.5623548,1,0
105,2000-06-08,7.966301050102949,0.3846650997070012,0.949009196,12.64035143,1,0
106,2000-06-09,7.966301050102949,0.3687629311922603,1.792698161,7.580631878,1,0
107,2000-06-10,19.81860261245124,0.352752086549095,1.949894206,9.094044566,1,0
108,2000-06-11,35.945504738269406,0.3366372842469106,1.669101969,0.48811431,1,0
109,2000-06-12,35.945504738269406,0.3204232733919112,1.50149943,3.77779454,1,0
110,2000-06-13,38.082805020004336,0.304114832327518,1.820387777,4.931569099,1,0
111,2000-06-14,23.316003073472046,0.2877167672261672,2.780521647,8.087098598,1,0
112,2000-06-15,23.316003073472046,0.27123391067291,2.019799805,5.774447229,1,0
113,2000-06-16,38.277105045616615,0.2546711202412288,2.559645589,6.314062979,1,0
114,2000-06-17,22.15020291979845,0.2380332770614858,2.961063639,9.517505765,1,0
115,2000-06-18,24.870403278370183,0.2213252843824324,2.988224284,15.66322707,1,0
116,2000-06-19,18.069902381940835,0.2045520661262008,2.876367188,12.00659852,1,0
