dia_sen,temperatura,precipitacion,precipitacion_bool,area_nieve,dias_sin_precip
0.90501618198408,0.44296127850911143,0.23063574965022512,1,7.973702146464738,0.0
0.9099896780749668,0.29362434782786556,0.08020659970476769,1,7.973702146464738,0.0
0.9148423483258944,0.2686145295832379,0.01686737276454159,1,97.79989775561852,0.0
0.9195727626326663,0.4057095965012488,4.0748809517888524e-05,0,399.01056455370485,0.05
0.924179526920474,0.48133427991079825,0.05176680247352119,1,399.01056455370485,0.0
0.9286612835547368,0.40693935045480634,0.04998238146934944,1,452.5482789656824,0.0
0.933016711741204,0.4128413972765588,0.013036548997301564,1,452.5482789656824,0.0
0.9372445279151977,0.4332186429086977,0.11505741245784892,1,452.5482789656824,0.0
0.9413434861198858,0.3944328984332519,0.0005353791837918618,0,541.8862887291342,0.05
0.9453123783734717,0.4579327800613225,0.001530211249202424,0,487.2094740105189,0.1
0.9491500350251909,0.4634223942031691,0.1477495492970456,1,487.2094740105189,0.0
0.9528553251000138,0.40541115590030014,0.062288201217445154,1,487.2094740105189,0.0
0.9564271566319482,0.4739396880147738,0.4057873547387453,1,487.2094740105189,0.0
0.9598644769858469,0.3675168526682454,0.052315717849754986,1,487.2094740105189,0.0
0.9631662731676247,0.385342274494938,0.10043817807386672,1,516.3378961374003,0.0
0.9663315721227919,0.32546945075815775,0.047284495537763455,1,516.3378961374003,0.0
0.9693594410232177,0.3246590639585265,0.00011545110454405785,0,524.7997841295669,0.05
0.972248987542039,0.4188109211768357,0.04071698359977026,1,523.6606838229291,0.0
0.9749993601166347,0.4305937835568524,3.5507327488414404e-06,0,522.6843121315253,0.05
0.9776097481995822,0.46293365246125073,1.215720064272479e-05,0,453.1991934266183,0.1
0.9800793824975325,0.46061652676117815,0.10462559121067247,1,453.1991934266183,0.0
0.982407535197922,0.4162327503590718,0.10487977612674584,1,453.1991934266183,0.0
0.9845935201834641,0.42063016694559424,0.060409295958876,1,489.3249460085605,0.0
0.9866366932343501,0.3408816241440855,0.06749214418715119,1,491.6031466218362,0.0
0.9885364522181037,0.35707027474404907,1.679525676018291e-05,0,482.1648869382657,0.05
0.9902922372670324,0.49129404731434734,0.1895784059237527,1,482.1648869382657,0.0
0.9919035309432236,0.4637505302754474,0.3716203153556903,1,482.1648869382657,0.0
0.9933698583910352,0.45524418369756553,0.05744078821630059,1,482.1648869382657,0.0
0.9946907874770377,0.4701976077636844,0.01402818234936716,1,477.9339429421824,0.0
0.9958659289173668,0.4832784829333023,6.992031860159473e-05,0,477.9339429421824,0.05
0.996894936392446,0.5007251197918395,0.02487332262953128,1,462.6374531101888,0.0
0.9977775066490493,0.527871188735134,0.04843845783639142,1,461.8238100340189,0.0
0.9985133795896711,0.5455269467133718,0.0006604593420034694,0,432.3699306766695,0.05
0.9991023383491782,0.5273011964332949,0.13891607102158304,1,432.3699306766695,0.0
0.9995442093587209,0.5067832502277219,0.1771850880214014,1,453.1991934266183,0.0
0.9998388623968847,0.4741501316922566,0.15487681251676413,1,453.1991934266183,0.0
0.9999862106280667,0.45528511519500264,0.2519752715832146,1,453.1991934266183,0.0
0.9999862106280667,0.4279734973488235,0.13440644155174525,1,453.1991934266183,0.0
