dia_sen,temperatura,precipitacion,precipitacion_bool,area_nieve,dias_sin_precip
0.9148423483258944,0.21331861978281458,0.047873194575140436,1,63.58021897098626,0.0
0.9195727626326663,0.20127568267473872,0.09347618161630133,1,63.58021897098626,0.0
0.924179526920474,0.18708813670595525,0.0019662669420782283,1,388.681637769213,0.0
0.9286612835547368,0.1829811760780865,5.240971375911808e-05,0,593.2795218937971,0.05
0.933016711741204,0.22051073474023797,2.0162215187137187e-05,0,607.5443146116465,0.1
0.9372445279151977,0.1827074848514914,0.010416852578959964,1,609.0387214678021,0.0
0.9413434861198858,0.24858163766435817,4.448208995708e-05,0,565.1575019643224,0.05
0.9453123783734717,0.3630395108526302,0.0038423323094811386,1,565.1575019643224,0.0
0.9491500350251909,0.35107838764830707,0.00012144416385113065,0,561.0818469020796,0.05
0.9528553251000138,0.3443008004045708,0.19858795493678735,1,561.0818469020796,0.0
0.9564271566319482,0.2796771971088824,0.12929244341659313,1,561.0818469020796,0.0
0.9598644769858469,0.2638752897081187,0.004824922780977271,1,561.0818469020796,0.0
0.9631662731676247,0.2972673146882213,0.020386260663124288,1,561.0818469020796,0.0
0.9663315721227919,0.3454543779016701,0.3008606307775091,1,561.0818469020796,0.0
0.9693594410232177,0.2791784712732128,0.48065201681076103,1,561.0818469020796,0.0
0.972248987542039,0.18934713070393389,0.0703656811327043,1,619.3637142921503,0.0
0.9749993601166347,0.23011853017772826,0.19281732598741277,1,619.3637142921503,0.0
0.9776097481995822,0.16036802237284603,0.011252277632561812,1,619.907134967116,0.0
0.9800793824975325,0.22329942429103572,2.6928259791645892e-05,0,627.5150244166357,0.05
0.982407535197922,0.33109743725605567,8.758816667631428e-07,0,622.8959486794274,0.1
0.9845935201834641,0.40502112319268957,0.006618854762387294,1,597.0834666185568,0.0
0.9866366932343501,0.4528528279157205,0.08357438406234519,1,597.0834666185568,0.0
0.9885364522181037,0.34820155394870766,0.1046918954745033,1,597.0834666185568,0.0
0.9902922372670324,0.3635755993118167,0.16845523843017318,1,597.0834666185568,0.0
0.9919035309432236,0.3762454518264867,0.06879619699915676,1,597.0834666185568,0.0
0.9933698583910352,0.3891536767541028,0.0035549904913988015,1,597.0834666185568,0.0
0.9946907874770377,0.35429439510421395,0.008094218425763333,1,597.0834666185568,0.0
0.9958659289173668,0.3435042514522356,0.007198841469624117,1,599.1212941496782,0.0
0.996894936392446,0.31086933808676975,0.07198250177293752,1,599.1212941496782,0.0
0.9977775066490493,0.33484503029054585,0.007085186138433492,1,591.6492598688999,0.0
0.9985133795896711,0.4308672301498753,0.0010158123020899657,0,606.049907755491,0.05
0.9991023383491782,0.4746033936769067,0.00750683673437677,1,606.049907755491,0.0
