fecha,dia_sen,temperatura,precipitacion,precipitacion_bool,area_nieve,dias_sin_precip
2000-02-24,0.90501618198408,0.32516792485559104,0.0031756305887892813,1,0.0,0.0
2000-02-25,0.9099896780749668,0.4809170476112258,0.020931888529223834,1,11.339727392464743,0.0
2000-02-26,0.9148423483258944,0.47043330881530654,0.0004403683533843784,0,40.00403830119507,0.05
2000-02-27,0.9195727626326663,0.45130786504714054,0.0001600871036335588,0,41.106511797684696,0.1
2000-02-28,0.924179526920474,0.4556184649792868,0.0008869466058395145,0,44.57142850093781,0.15000000000000002
2000-02-29,0.9286612835547368,0.43907483501851985,0.03513156093594976,1,39.68904587362661,0.0
2000-03-01,0.933016711741204,0.48458496538356716,0.0961810495285402,1,39.53154965984237,0.0
2000-03-02,0.9372445279151977,0.3656365832941458,0.006730754694152082,1,38.11408373578428,0.0
2000-03-03,0.9413434861198858,0.4250953522216687,0.00036127331205101573,0,40.319030728763536,0.05
2000-03-04,0.9453123783734717,0.4304217625547614,0.02602620766174128,1,40.634023156332,0.0
2000-03-05,0.9491500350251909,0.32526727220626434,0.0007655897219842115,0,38.11408373578428,0.05
2000-03-06,0.9528553251000138,0.4038577788455726,1.8258709020474402e-05,0,37.01161023929465,0.1
2000-03-07,0.9564271566319482,0.4653121401261756,1.659003018206117e-05,0,30.86925790170958,0.15000000000000002
2000-03-08,0.9598644769858469,0.4990606675124323,0.012360904511503306,1,34.17667839117846,0.0
2000-03-09,0.9631662731676247,0.5947830034276723,0.012954493505156414,1,33.23170110847307,0.0
2000-03-10,0.9663315721227919,0.5626168452944217,0.007567454530730861,1,33.07420489468884,0.0
2000-03-11,0.9693594410232177,0.5771701952245052,0.00357914475499023,1,33.07420489468884,0.0
2000-03-12,0.972248987542039,0.5734387330592856,0.001022096296533786,0,34.019182177394235,0.05
2000-03-13,0.9749993601166347,0.5343922487217655,5.406361959128922e-05,0,34.019182177394235,0.1
2000-03-14,0.9776097481995822,0.513648583723012,0.012339298312043381,1,38.11408373578428,0.0
2000-03-15,0.9800793824975325,0.4413181205226094,0.03323315086417042,1,31.184250329278047,0.0
2000-03-16,0.982407535197922,0.4010140027306712,0.08340295539042375,1,17.954568371402512,0.0
2000-03-17,0.9845935201834641,0.4699109708876291,0.04611381336917026,1,17.954568371402512,0.0
2000-03-18,0.9866366932343501,0.49397702935654175,0.0387280232663864,1,26.45936391575107,0.0
2000-03-19,0.9885364522181037,0.4721498631684331,0.0026313604873161073,1,22.364462357361024,0.0
2000-03-20,0.9902922372670324,0.4583741264962656,0.0004948272797977632,0,24.56940935034028,0.05
2000-03-21,0.9919035309432236,0.5236518010732293,2.2058985507449875e-05,0,24.254416922771814,0.1
2000-03-22,0.9933698583910352,0.5303142266019567,1.1040541982776817e-05,0,24.254416922771814,0.15000000000000002
2000-03-23,0.9946907874770377,0.5519583472178504,0.0019969307162400985,1,24.254416922771814,0.0
2000-03-24,0.9958659289173668,0.5570522943880076,0.004354523061276178,1,26.30186770196684,0.0
2000-03-25,0.996894936392446,0.5451610943860329,0.0029334112482627905,1,26.30186770196684,0.0
2000-03-26,0.9977775066490493,0.5276798631458599,0.0725912989619353,1,26.931852557103767,0.0
2000-03-27,0.9985133795896711,0.4813266710614582,0.23605640906938866,1,30.081776832788417,0.0
2000-03-28,0.9991023383491782,0.47339515772986696,0.05299015745544576,1,29.766784405219955,0.0
2000-03-29,0.9995442093587209,0.47738657768723414,0.37064174644921916,1,29.766784405219955,0.0
2000-03-30,0.9998388623968847,0.46547021383747134,0.011132901339611447,1,28.349318481161863,0.0
2000-03-31,0.9999862106280667,0.461717698702533,0.009931739107246556,1,24.096920708987582,0.0
2000-04-01,0.9999862106280667,0.48377902431325703,0.027773886228979326,1,18.58455322653944,0.0
2000-04-02,0.9998388623968847,0.4569404001385154,0.005246609146306093,1,20.474507791950234,0.0
2000-04-03,0.9995442093587209,0.5314757365007077,0.07510934044066009,1,20.474507791950234,0.0
2000-04-04,0.9991023383491782,0.5450874747638781,0.008191213625021818,1,20.474507791950234,0.0
2000-04-05,0.9985133795896711,0.5348698044922741,0.05898440727710456,1,195.76779373380103,0.0
2000-04-06,0.9977775066490493,0.5346537018581204,0.04350707336521294,1,182.3806155621413,0.0
2000-04-07,0.996894936392446,0.4969675334437574,9.044754332516495e-05,0,182.3806155621413,0.05
2000-04-08,0.9958659289173668,0.49725854393567565,3.6393062582203704e-05,0,166.47349796993382,0.1
2000-04-09,0.9946907874770377,0.5026426637970804,0.022169680246693493,1,166.3160017561496,0.0
2000-04-10,0.9933698583910353,0.5190836695001046,0.009575426356904762,1,166.3160017561496,0.0
2000-04-11,0.9919035309432236,0.5275366928501952,0.005261683302291699,1,166.3160017561496,0.0
2000-04-12,0.9902922372670324,0.5314846976678029,0.1319264132094909,1,101.1125692494773,0.0
2000-04-13,0.9885364522181037,0.5380839131667399,0.08137052631517913,1,95.12771312567646,0.0
2000-04-14,0.9866366932343501,0.5674739875929016,0.018438748308192324,1,99.38011089785076,0.0
2000-04-15,0.9845935201834641,0.57102076777851,0.1271192766545373,1,99.38011089785076,0.0
2000-04-16,0.982407535197922,0.5408115080986414,0.0218033764891411,1,78.74810689211628,0.0
2000-04-17,0.9800793824975325,0.5845750422688153,0.2623922179879124,1,88.51287214673869,0.0
2000-04-18,0.9776097481995822,0.6076576886078051,0.14477633860510924,1,102.84502760110384,0.0
2000-04-19,0.9749993601166347,0.6062542614019127,0.07431825096968092,1,95.2852093394607,0.0
2000-04-20,0.972248987542039,0.6407256524594023,4.468571551328511e-05,0,80.7955576713113,0.05
2000-04-21,0.9693594410232177,0.6881354721452497,5.5010316503816025e-06,0,74.33821290615776,0.1
2000-04-22,0.9663315721227919,0.683551456388741,1.0934864368001423e-05,0,65.04593629288804,0.15000000000000002
2000-04-23,0.9631662731676248,0.685643797409184,0.003051697995399015,1,68.98334163749387,0.0
2000-04-24,0.9598644769858471,0.6218079242150074,0.13269301130270586,1,67.2508832858673,0.0
2000-04-25,0.9564271566319482,0.6433665328772626,5.379517237564442e-05,0,67.2508832858673,0.05
2000-04-26,0.9528553251000139,0.6603970853705982,6.630428081600353e-06,0,67.2508832858673,0.1
2000-04-27,0.9491500350251909,0.6770216395582086,3.196167633350679e-05,0,67.2508832858673,0.15000000000000002
2000-04-28,0.9453123783734718,0.6605174485760091,0.10037610323618745,1,67.2508832858673,0.0
2000-04-29,0.9413434861198859,0.6526140814866478,0.08400856480938325,1,67.56587571343577,0.0
2000-04-30,0.9372445279151977,0.6590909062211426,0.00043568931467237606,0,67.56587571343577,0.05
2000-05-01,0.933016711741204,0.6715199676229562,0.007523136369887263,1,67.56587571343577,0.0
2000-05-02,0.928661283554737,0.6733584946280073,0.016373432454748645,1,64.41595143775112,0.0
2000-05-03,0.924179526920474,0.6761424983350587,0.004805242644809421,1,50.24129219717019,0.0
2000-05-04,0.9195727626326664,0.6665844254415618,0.006857142294576303,1,48.50883384554363,0.0
2000-05-05,0.9148423483258945,0.6636444560928684,0.004149441186415328,1,48.50883384554363,0.0
2000-05-06,0.9099896780749668,0.6607424015356428,0.04846644850857136,1,48.50883384554363,0.0
2000-05-07,0.90501618198408,0.6711219100192997,0.08366926538054162,1,48.50883384554363,0.0
2000-05-08,0.89992332576536,0.6662647112167625,0.0656845729421972,1,48.50883384554363,0.0
